region,district,municipality,ward,ALIANCE NARODNICH SIL,ANO 2011,"ANO, vytrollime europarlament",Agrarni demokraticka strana,Alternativa pro Cesk. rep.2017,"BEZPECNOST,ODPOVEDNOST,SOLID.",CESTA ODPOVEDNE SPOLECNOSTI,Ceska Suverenita,Ceska piratska strana,Ceska str.socialne demokrat.,Demokraticka strana zelenych,Evropa spolecne,HLAS,JSI PRO?Jist.Solid.In.pro bud.,KONZERVATIVNI ALTERNATIVA,Klub angazovanych nestraniku,"Koalice CSNS, Patrioti CR",Koalice DSSS a NF,"Koalice Rozumni, ND","Koalice STAN, TOP 09","Koalice Soukromnici, NEZ","Koalice Svobodni, RC",Komunisticka str.Cech a Moravy,Krest.demokr.unie-Cs.str.lid.,Moravane,Moravske zemske hnuti,NE-VOLIM.CZ,Narodni socialiste,Obcanska demokraticka strana,PRO Zdravi a Sport,PRVNI REPUBLIKA,Pro Cesko,Romska demokraticka strana,SPR-Republ.str.Csl. M.Sladka,Strana nezavislosti CR,Svob.a pr.dem.-T.Okamura (SPD),TVUJ KANDIDAT,Vedci pro Ceskou republiku,Volte Pr.Blok www.cibulka.net
Jihocesky kraj,Ceske Budejovice,Borovany,1,0,79,7,1,0,1,0,1,38,26,1,3,7,0,0,2,0,1,2,29,1,1,26,50,0,1,0,3,34,2,0,0,0,0,0,21,0,4,1
Jihocesky kraj,Ceske Budejovice,Borovany,2,0,58,1,0,2,0,0,0,38,15,3,1,13,0,0,0,0,0,5,24,2,0,14,55,0,0,0,0,32,2,0,1,0,0,1,17,0,0,2
Jihocesky kraj,Ceske Budejovice,Borovany,3,0,20,4,0,1,0,1,0,7,2,0,0,1,0,0,0,0,0,0,9,0,2,3,3,0,0,0,0,17,0,0,0,0,0,0,9,0,2,0
Jihocesky kraj,Ceske Budejovice,Borovany,4,0,6,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,4,0,0,7,2,0,0,0,0,5,0,0,0,0,0,0,3,0,0,1
Jihocesky kraj,Ceske Budejovice,Borovany,5,0,12,2,0,3,0,0,0,11,5,0,0,2,0,0,0,0,1,3,8,0,1,5,8,0,0,0,0,8,0,0,0,0,2,0,9,0,2,0
Jihocesky kraj,Ceske Budejovice,Borovany,6,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,2,0,2,0
Jihocesky kraj,Ceske Budejovice,Borovany,7,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0
Jihocesky kraj,Ceske Budejovice,Borovany,8,0,14,1,0,0,0,0,0,5,7,0,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
Jihocesky kraj,Ceske Budejovice,Borsov nad Vltavou,1,0,39,0,0,4,1,2,0,31,0,0,1,7,4,0,0,1,0,0,22,1,0,12,31,0,0,0,0,48,0,0,0,0,0,4,9,0,0,1
Jihocesky kraj,Ceske Budejovice,Borsov nad Vltavou,2,0,7,0,1,2,0,0,0,12,2,0,0,1,0,0,0,0,0,1,7,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,6,0,0,2
Jihocesky kraj,Ceske Budejovice,Borsov nad Vltavou,3,0,34,1,1,1,1,0,0,17,9,1,0,6,1,0,0,0,0,2,22,0,3,6,16,0,0,3,0,32,1,0,0,0,2,1,15,0,0,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,1,1,45,7,0,1,2,0,0,63,3,1,3,7,0,0,0,2,0,0,43,1,7,14,13,1,0,0,0,58,0,0,0,0,0,1,29,1,2,1
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,2,0,19,1,0,0,0,0,0,47,2,2,4,10,0,0,0,1,0,5,62,0,0,4,16,0,0,0,0,50,0,0,0,0,0,0,21,0,4,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,3,0,56,3,0,1,0,1,0,32,6,1,0,5,0,0,0,1,1,1,28,1,0,9,16,0,0,0,0,41,0,0,0,0,0,0,26,0,3,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,4,0,33,3,1,1,3,4,0,22,10,3,2,0,0,0,0,0,0,1,22,2,1,21,20,0,0,0,0,19,1,0,0,0,0,0,15,1,1,1
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,5,0,45,1,1,1,1,1,0,26,7,3,0,9,0,0,0,0,0,3,28,0,2,16,11,0,0,0,0,28,0,0,0,0,0,2,22,1,3,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,6,0,50,2,0,1,0,2,0,32,18,4,3,7,0,0,0,0,0,3,31,0,4,24,19,0,0,0,0,25,0,0,0,0,0,0,17,0,0,1
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,7,0,52,2,0,2,0,0,0,27,6,0,0,3,0,0,0,0,1,1,31,1,0,16,10,0,0,0,0,35,3,0,0,0,0,2,12,0,3,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,8,0,69,4,0,1,0,2,0,38,13,1,0,5,0,0,0,0,0,1,17,0,1,22,23,0,0,0,0,31,0,0,0,1,0,1,18,0,4,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,9,0,43,3,0,3,1,0,1,41,9,0,4,6,0,0,0,0,1,0,35,0,2,21,10,0,0,0,0,34,1,0,1,0,1,0,14,0,1,2
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,10,0,38,1,2,0,2,1,0,20,1,2,0,4,0,0,1,0,0,1,11,1,0,15,5,0,0,0,0,13,1,0,0,0,1,2,13,0,1,2
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,11,0,55,4,0,0,1,0,0,30,9,0,1,10,0,0,0,0,1,1,33,2,2,16,9,0,0,0,0,40,0,0,0,0,0,2,22,0,3,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,12,0,41,4,0,0,1,1,3,21,10,2,0,2,0,0,1,0,0,0,26,2,1,24,7,0,0,0,1,31,1,0,0,0,0,1,23,0,1,1
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,13,0,55,5,0,1,0,1,0,21,9,1,1,5,0,0,0,0,0,2,14,0,0,16,7,0,0,0,0,16,1,0,0,0,0,1,15,0,1,1
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,14,0,52,4,0,2,0,2,0,51,11,3,1,5,0,0,0,1,1,0,33,0,1,17,18,0,1,0,1,47,0,0,0,0,0,2,20,0,3,0
Jihocesky kraj,Ceske Budejovice,Ceske Budejovice,15,0,10,0,0,0,1,0,0,16,3,1,0,1,0,0,0,0,0,0,12,0,0,10,5,0,0,0,0,13,1,0,0,0,0,2,10,0,0,0
