Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Eger,0.48676599920428587,47,125,0.8373612976518287,47,183,0.000978973988723153,47,109,0.0008197549295646061,0.00039902882739215447
Mátraverebély,0.017523096306421793,3,38,0.18126924692201818,3,53,0.18126924692201818,3,53,0.032858539879675595,0.0005757833587999566
Berettyóújfalu,0.06564245437845007,16,138,0.01857593622214071,16,177,0.7768698398515702,16,108,0.014431084597987436,0.0009472918123549437
Gyömrő,0.19115316946194183,16,160,0.19115316946194183,16,183,0.06564245437845007,16,133,0.01254776320570165,0.002398544706427806
Esztergom,0.049037151986962346,27,73,1.0,27,84,0.049037151986962346,27,53,0.049037151986962346,0.0024046422749924453
Maglód,1.0,8,282,0.5034146962085905,8,331,0.005753457592299616,8,193,0.0028963751059765193,0.0028963751059765193
Besenyszög,0.18126924692201818,3,237,1.0,3,300,0.017523096306421793,3,160,0.017523096306421793,0.003176398471207077
Hőgyész,0.017523096306421793,3,155,1.0,3,177,0.18126924692201818,3,111,0.18126924692201818,0.003176398471207077
Martfű,0.09020401043104986,6,162,0.3934693402873666,6,205,0.09020401043104986,6,113,0.03549251247557992,0.0032015669655713784
Vésztő,0.4511883639059735,7,176,0.02311528775263294,7,219,0.4511883639059735,7,106,0.010429348862326243,0.004705600849797604
Ócsa,0.5934303402594008,10,32,0.5934303402594008,10,52,0.013458720639436206,10,38,0.007986813168516847,0.004739617256181216
Zalalövő,1.0,6,20,0.3934693402873666,6,39,0.014387677966970713,6,29,0.005661110157931046,0.005661110157931046
Vaskút,0.18126924692201818,3,248,0.18126924692201818,3,300,0.18126924692201818,3,237,0.032858539879675595,0.005956242778945897
Százhalombatta,0.7768698398515702,16,182,0.01857593622214071,16,211,0.44217459962892525,16,126,0.008213807161757519,0.006381059054326244
Lenti,0.08030139707139416,11,61,0.08030139707139416,11,78,1.0,11,66,0.08030139707139416,0.0064483143716177116
Komárom,0.10870839470920546,19,123,0.07881348722971893,17,137,0.7981034820053445,17,104,0.06290131858702243,0.006837901368687516
Orosháza,0.6972531552839984,37,25,0.07327341562896683,37,34,0.15588146615262388,37,22,0.011421967458253935,0.007964002849818708
Putnok,0.5034146962085905,8,81,0.034141584125708446,8,94,0.5034146962085905,8,81,0.017187375200723554,0.00865237726529531
Dombóvár,0.8775435717470181,22,31,0.06212611518000266,22,32,0.16135715110945337,22,19,0.010024492954942994,0.008796929352633496
Zsadány,0.09516258196404048,2,177,1.0,2,230,0.09516258196404048,2,125,0.09516258196404048,0.009055917006062723
Szár,0.09516258196404048,2,192,1.0,2,185,0.09516258196404048,2,195,0.09516258196404048,0.009055917006062723
Palotabozsok,0.09516258196404048,2,143,1.0,2,121,0.09516258196404048,2,113,0.09516258196404048,0.009055917006062723
Vasad,1.0,2,55,0.09516258196404048,2,85,0.09516258196404048,2,166,0.009055917006062723,0.009055917006062723
Kosd,1.0,2,258,0.09516258196404048,2,318,0.09516258196404048,2,226,0.009055917006062723,0.009055917006062723
Galgamácsa,0.09516258196404048,2,152,1.0,2,236,0.09516258196404048,2,145,0.09516258196404048,0.009055917006062723
Pázmánd,0.09516258196404048,2,236,1.0,2,325,0.09516258196404048,2,249,0.09516258196404048,0.009055917006062723
Háromfa,0.09516258196404048,2,45,0.09516258196404048,2,62,1.0,1,92,0.09516258196404048,0.009055917006062723
Darnózseli,1.0,2,199,0.09516258196404048,2,228,0.09516258196404048,2,158,0.009055917006062723,0.009055917006062723
Telekgerendás,1.0,2,183,0.09516258196404048,2,226,0.09516258196404048,2,128,0.009055917006062723,0.009055917006062723
Budapest XVI. kerület,0.83964705410753,60,204,0.07721221652153698,60,224,0.14261069263051607,60,175,0.011011287677673764,0.009245595260489322
Nyúl,1.0,4,139,0.03693631311376677,4,193,0.259181779318282,4,157,0.009573219354283265,0.009573219354283265
Érsekvadkert,1.0,4,191,0.03693631311376677,4,239,0.259181779318282,4,179,0.009573219354283265,0.009573219354283265
Nyírmada,0.259181779318282,4,154,0.03693631311376677,4,240,1.0,4,103,0.03693631311376677,0.009573219354283265
Herend,0.259181779318282,4,191,0.03693631311376677,4,236,1.0,4,166,0.03693631311376677,0.009573219354283265
Püspökladány,0.06564245437845007,16,157,0.7768698398515702,16,185,0.19115316946194183,16,108,0.14850113214701882,0.009747978792108867
Őrbottyán,0.02311528775263294,7,197,1.0,7,198,0.4511883639059735,7,193,0.4511883639059735,0.010429348862326243
Bugyi,0.02311528775263294,7,41,0.4511883639059735,7,57,1.0,7,19,0.4511883639059735,0.010429348862326243
Kerepes,0.15580498355460382,8,198,0.15580498355460382,8,272,0.5034146962085905,8,207,0.07843451846392531,0.012220488859385153
Balatonfüred,0.15580498355460382,8,351,0.15580498355460382,8,402,0.5034146962085905,8,275,0.07843451846392531,0.012220488859385153
Baja,0.5988368526853677,32,62,0.038804205508200296,32,117,0.5988368526853677,32,47,0.023237388297486873,0.013915404472694834
Tiszaalpár,0.09020401043104986,6,154,0.3934693402873666,6,186,0.3934693402873666,6,132,0.15481812174617549,0.013965215468907558
Létavértes,0.3934693402873666,6,146,0.09020401043104986,6,201,0.3934693402873666,6,103,0.03549251247557992,0.013965215468907558
Solt,0.3934693402873666,6,218,0.09020401043104986,6,242,0.3934693402873666,6,179,0.03549251247557992,0.013965215468907558
Dabas,1.0,16,161,0.01857593622214071,16,251,0.7768698398515702,16,142,0.014431084597987436,0.014431084597987436
Veszprém,0.31396401971769605,56,72,0.10564332219241379,56,84,0.4710813134741374,56,70,0.049766594978173775,0.015624920207009946
Győrújbarát,0.259181779318282,4,390,1.0,4,491,0.061551935550104964,5,275,0.061551935550104964,0.01595314017636042
Tapolca,0.7534030360583935,15,135,0.40816728654014434,15,214,0.053725250368075406,15,120,0.02192888966142723,0.016521292048308794
Derecske,0.034141584125708446,8,108,1.0,8,139,0.5034146962085905,8,56,0.5034146962085905,0.017187375200723554
Fertőd,0.259181779318282,4,25,0.259181779318282,4,41,0.259181779318282,4,21,0.06717519473059064,0.017410586496326562
Dunasziget,1.0,3,50,0.017523096306421793,3,75,1.0,3,55,0.017523096306421793,0.017523096306421793
Kazár,1.0,3,47,1.0,3,78,0.017523096306421793,3,50,0.017523096306421793,0.017523096306421793
Ecser,0.017523096306421793,3,279,1.0,4,192,1.0,4,131,1.0,0.017523096306421793
Bélapátfalva,0.017523096306421793,3,159,1.0,3,204,1.0,3,127,1.0,0.017523096306421793
Köröstarcsa,0.017523096306421793,3,194,1.0,3,187,1.0,3,115,1.0,0.017523096306421793
Sárszentmihály,0.017523096306421793,3,183,1.0,3,238,1.0,3,144,1.0,0.017523096306421793
Múcsony,1.0,3,106,1.0,3,160,0.017523096306421793,3,88,0.017523096306421793,0.017523096306421793
Mosonmagyaróvár,0.3303765824502001,30,166,0.3303765824502001,30,185,0.16822292368055092,30,103,0.055576914615361246,0.018361311113749623
Mezőkeresztes,0.32967995396436056,5,112,1.0,5,152,0.061551935550104964,5,77,0.061551935550104964,0.020292439278575894
Csabrendek,1.0,5,38,0.32967995396436056,5,44,0.061551935550104964,5,34,0.020292439278575894,0.020292439278575894
Alsózsolca,1.0,5,166,0.061551935550104964,5,207,0.32967995396436056,5,133,0.020292439278575894,0.020292439278575894
Tokaj,1.0,5,136,0.061551935550104964,5,142,0.32967995396436056,5,120,0.020292439278575894,0.020292439278575894
Budapest XI. kerület,0.7304169403113145,118,149,0.1346938678986347,118,142,0.237555057845106,113,143,0.03199720958004123,0.023371303919953595
Kisújszállás,0.15580498355460382,8,195,0.15580498355460382,8,304,1.0,8,166,0.15580498355460382,0.024275192900450365
Polgárdi,0.1219013822495576,7,54,0.4511883639059735,7,78,0.4511883639059735,7,48,0.20357093972414916,0.024815578938215156
Budapest V. kerület,0.593994150290162,21,165,0.052653017343711084,21,174,0.8646647167633873,21,159,0.04552720632823766,0.027042894238026416
Tolna,0.12051290121636982,13,151,0.6988057880877979,13,177,0.33737273379315535,13,114,0.23575801911766078,0.028411882868893682
Budapest XXI. kerület,0.8176887562939694,70,113,0.09157477856681218,70,104,0.386389458982349,70,85,0.035383529146858966,0.028932713941386523
Békéscsaba,0.9011920345966106,68,37,0.1404300954491391,68,66,0.23271638022343066,68,42,0.03268038348735451,0.02945130128636649
Gyula,0.5540368014428195,30,137,0.16822292368055092,30,162,0.3303765824502001,30,24,0.055576914615361246,0.03079165600755543
Adony,0.18126924692201818,3,208,1.0,3,292,0.18126924692201818,3,189,0.18126924692201818,0.032858539879675595
Újszilvás,0.18126924692201818,3,172,0.18126924692201818,3,234,1.0,3,122,0.18126924692201818,0.032858539879675595
Ajak,1.0,3,281,0.18126924692201818,3,356,0.18126924692201818,3,241,0.032858539879675595,0.032858539879675595
Földeák,0.18126924692201818,3,168,0.18126924692201818,3,272,1.0,3,183,0.18126924692201818,0.032858539879675595
Zalakomár,0.18126924692201818,3,116,0.18126924692201818,3,210,1.0,3,109,0.18126924692201818,0.032858539879675595
Csanytelek,0.18126924692201818,3,158,1.0,3,216,0.18126924692201818,3,124,0.18126924692201818,0.032858539879675595
Csepreg,0.18126924692201818,3,264,0.18126924692201818,3,375,1.0,3,278,0.18126924692201818,0.032858539879675595
Tiszabura,0.18126924692201818,3,53,0.18126924692201818,3,55,1.0,3,30,0.18126924692201818,0.032858539879675595
Biharnagybajom,0.18126924692201818,3,112,1.0,3,152,0.18126924692201818,3,92,0.18126924692201818,0.032858539879675595
Vértesszőlős,1.0,3,166,0.18126924692201818,3,248,0.18126924692201818,3,153,0.032858539879675595,0.032858539879675595
Tornyospálca,1.0,3,161,0.18126924692201818,3,221,0.18126924692201818,3,98,0.032858539879675595,0.032858539879675595
Tunyogmatolcs,1.0,3,181,0.18126924692201818,3,172,0.18126924692201818,3,105,0.032858539879675595,0.032858539879675595
Sárisáp,0.18126924692201818,3,136,0.18126924692201818,3,151,1.0,3,74,0.18126924692201818,0.032858539879675595
Budapest XII. kerület,0.2983286958733491,55,162,0.1783413131948295,55,158,0.6266892287178579,55,127,0.11176458001459763,0.03334258140058748
Balatonalmádi,0.034141584125708446,8,251,1.0,8,273,1.0,8,237,1.0,0.034141584125708446
