Telepules,min_votes,Korzet_count,entropy,p
Aba,31,10,1.6957425341696346,0.414
Abaliget,74,2,0.6931471805599453,1.0
Abasár,196,4,1.0397207708399179,0.5047
Abaújalpár,14,2,0.6931471805599453,1.0
Abaújkér,17,4,1.0397207708399179,0.5047
Abaújlak,18,2,0.6931471805599453,1.0
Abaújszolnok,4,2,0.6931471805599453,1.0
Abaújszántó,136,6,1.329661348854758,0.2068
Abaújvár,26,2,0.6931471805599453,1.0
Abda,57,8,1.7328679513998633,0.8178
Abod,21,2,0.6931471805599453,1.0
Abony,92,32,2.1672040058331503,0.5328
Abádszalók,67,10,1.8866967846580784,0.827
Acsa,150,2,0.6931471805599453,1.0
Acsalag,24,2,0.6931471805599453,1.0
Acsád,55,2,0.6931471805599453,1.0
Adony,134,6,1.3296613488547582,0.4055
Adorjánháza,55,2,0.6931471805599453,1.0
Adorjás,3,2,0.6931471805599453,1.0
Adács,124,6,1.5607104090414063,0.8472
Adásztevel,83,2,0.6931471805599453,1.0
Aggtelek,68,2,0.6931471805599453,1.0
Agyagosszergény,77,2,0.6931471805599453,1.0
Ajak,168,6,1.7917594692280547,1.0
Ajka,49,58,2.2377108468993496,0.6076
Aka,31,2,0.6931471805599453,1.0
Akasztó,224,4,1.3862943611198906,1.0
Alacska,108,2,0.6931471805599453,1.0
Alap,68,4,1.0397207708399179,0.5047
Alattyán,105,4,1.0397207708399179,0.5047
Albertirsa,57,32,2.247555055418553,0.9558
Alcsútdoboz,54,4,0.5623351446188083,0.0372
Aldebrő,127,2,0.6931471805599453,1.0
Algyő,114,8,1.7328679513998633,0.8178
Alibánfa,41,2,0.0,0.1008
Almamellék,31,2,0.6931471805599453,1.0
Almásfüzitő,74,6,1.5607104090414063,0.8472
Almásháza,1,2,0.6931471805599453,1.0
Almáskamarás,103,2,0.6931471805599453,1.0
Almáskeresztúr,11,2,0.0,0.1008
Alsóberecki,68,2,0.6931471805599453,1.0
Alsóbogát,13,2,0.6931471805599453,1.0
Alsódobsza,45,2,0.6931471805599453,1.0
Alsógagy,6,2,0.6931471805599453,1.0
Alsómocsolád,31,2,0.6931471805599453,1.0
Alsónemesapáti,89,2,0.6931471805599453,1.0
Alsónyék,81,2,0.6931471805599453,1.0
Alsónána,56,2,0.6931471805599453,1.0
Alsónémedi,76,10,1.8343719702816235,0.6016
Alsópetény,53,2,0.6931471805599453,1.0
Alsópáhok,147,2,0.6931471805599453,1.0
Alsórajk,48,2,0.6931471805599453,1.0
Alsóregmec,30,2,0.6931471805599453,1.0
Alsószenterzsébet,16,2,0.6931471805599453,1.0
Alsószentiván,71,2,0.6931471805599453,1.0
Alsószentmárton,0,2,0.6931471805599453,1.0
Alsószuha,69,2,0.6931471805599453,1.0
Alsószölnök,35,2,0.0,0.1008
Alsótelekes,12,2,0.6931471805599453,1.0
Alsótold,31,2,0.6931471805599453,1.0
Alsóvadász,201,2,0.6931471805599453,1.0
Alsózsolca,101,10,1.8866967846580784,0.827
Alsóörs,54,4,1.0397207708399179,0.5047
Alsóújlak,48,2,0.6931471805599453,1.0
Ambrózfalva,69,2,0.6931471805599453,1.0
Anarcs,136,4,1.3862943611198906,1.0
Andocs,4,4,1.3862943611198906,1.0
Andornaktálya,218,4,1.3862943611198906,1.0
Andrásfa,25,2,0.6931471805599453,1.0
Annavölgy,77,2,0.6931471805599453,1.0
Apagy,79,6,1.3296613488547582,0.4055
Apaj,105,2,0.6931471805599453,1.0
Aparhant,50,4,1.3862943611198906,1.0
Apc,101,6,1.5607104090414063,0.8472
Apostag,110,4,1.3862943611198906,1.0
Apácatorna,21,2,0.6931471805599453,1.0
Apátfalva,111,6,1.3296613488547582,0.4055
Apátistvánfalva,29,2,0.6931471805599453,1.0
Apátvarasd,18,2,0.6931471805599453,1.0
Aranyosapáti,88,4,1.0397207708399179,0.5047
Aranyosgadány,22,2,0.6931471805599453,1.0
Arka,20,2,0.6931471805599453,1.0
Arló,71,6,1.7917594692280547,1.0
Arnót,150,4,1.0397207708399179,0.5047
Aszaló,105,4,1.3862943611198906,1.0
Aszód,64,12,1.8636799873410004,0.5927
Aszófő,42,2,0.6931471805599453,1.0
Atkár,141,4,1.3862943611198906,1.0
Attala,117,2,0.6931471805599453,1.0
Babarc,70,2,0.6931471805599453,1.0
Babarcszőlős,3,2,0.6931471805599453,1.0
Babosdöbréte,42,2,0.6931471805599453,1.0
Babócsa,54,4,1.3862943611198906,1.0
Babót,131,2,0.6931471805599453,1.0
Badacsonytomaj,71,6,1.7917594692280547,1.0
Badacsonytördemic,115,2,0.6931471805599453,1.0
Bag,102,8,1.4941751382893085,0.2888
Bagamér,115,4,1.0397207708399179,0.5047
Baglad,3,2,0.6931471805599453,1.0
Bagod,138,2,0.6931471805599453,1.0
Baj,80,6,1.7917594692280547,1.0
Baja,30,64,2.2281340038703146,0.4191
Bajna,99,4,1.0397207708399179,0.5047
Bajánsenye,51,2,0.6931471805599453,1.0
Bajót,157,2,0.0,0.1008
Bak,83,4,1.0397207708399179,0.5047
Bakháza,28,2,0.6931471805599453,1.0
Bakonszeg,212,2,0.6931471805599453,1.0
Bakonya,46,2,0.6931471805599453,1.0
Bakonybánk,58,2,0.6931471805599453,1.0
Bakonybél,164,2,0.6931471805599453,1.0
Bakonycsernye,110,6,1.5607104090414063,0.8472
Bakonygyirót,13,2,0.6931471805599453,1.0
Bakonyjákó,60,2,0.6931471805599453,1.0
Bakonykoppány,28,2,0.6931471805599453,1.0
Bakonykúti,13,2,0.6931471805599453,1.0
Bakonynána,102,2,0.6931471805599453,1.0
Bakonyoszlop,30,2,0.6931471805599453,1.0
Bakonypéterd,29,2,0.6931471805599453,1.0
Bakonypölöske,43,2,0.6931471805599453,1.0
Bakonyszentiván,21,2,0.6931471805599453,1.0
Bakonyszentkirály,77,2,0.6931471805599453,1.0
Bakonyszentlászló,98,4,1.0397207708399179,0.5047
Bakonyszombathely,84,4,1.3862943611198906,1.0
Bakonyszücs,47,2,0.6931471805599453,1.0
Bakonyság,4,2,0.6931471805599453,1.0
Bakonysárkány,116,2,0.6931471805599453,1.0
Bakonytamási,87,2,0.6931471805599453,1.0
Baks,128,4,1.3862943611198906,1.0
Baksa,83,2,0.6931471805599453,1.0
Baktakék,102,2,0.6931471805599453,1.0
Baktalórántháza,77,6,1.5607104090414063,0.8472
Baktüttös,54,2,0.6931471805599453,1.0
Bakóca,14,2,0.6931471805599453,1.0
Balajt,37,2,0.6931471805599453,1.0
