Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Eger,0.4926826279117078,47,125,0.8516246193425085,47,183,0.00042158306250505984,47,109,0.0003590305151271206,0.0001768880976933239
Mátraverebély,0.010000000000000009,3,38,0.18999999999999995,3,53,0.18999999999999995,3,53,0.03609999999999998,0.0003610000000000001
Berettyóújfalu,0.05555563000753594,16,138,0.012720483641251001,16,177,0.794108867905351,16,108,0.01010144886356237,0.0005611923556041155
Maglód,1.0,8,282,0.5217030999999999,8,331,0.0027279999999999527,8,193,0.0014232060567999749,0.0014232060567999749
Esztergom,0.039859312269892144,27,73,1.0,27,84,0.039859312269892144,27,53,0.039859312269892144,0.0015887647746287744
Gyömrő,0.18406106910639097,16,160,0.18406106910639097,16,183,0.05555563000753594,16,133,0.010225628654066161,0.0018821401423523632
Hőgyész,0.010000000000000009,3,155,1.0,3,177,0.18999999999999995,3,111,0.18999999999999995,0.001900000000000001
Besenyszög,0.18999999999999995,3,237,1.0,3,300,0.010000000000000009,3,160,0.010000000000000009,0.001900000000000001
Martfű,0.08145999999999998,6,162,0.40950999999999993,6,205,0.08145999999999998,6,113,0.03335868459999999,0.002717398447515998
Ócsa,0.6125795109999999,10,32,0.6125795109999999,10,52,0.008331093999999983,10,38,0.005103457488615022,0.0031262734927850777
Vésztő,0.46855899999999995,7,176,0.01585000000000003,7,219,0.46855899999999995,7,106,0.007426660150000014,0.0034798284532238564
Zalalövő,1.0,6,20,0.40950999999999993,6,39,0.008560000000000012,6,29,0.003505405600000004,0.003505405600000004
Százhalombatta,0.794108867905351,16,182,0.012720483641251001,16,211,0.45095698108093596,16,126,0.005736390900747983,0.004555318884055538
Lenti,0.07019082639999996,11,61,0.07019082639999996,11,78,1.0,11,66,0.07019082639999996,0.0049267521107149315
Komárom,0.09819684142543728,19,123,0.06840617391742143,17,137,0.8146979811148158,17,104,0.05573037178631221,0.005472546480881164
Orosháza,0.7121371169257769,37,25,0.06282814237583723,37,34,0.14539730133503703,37,22,0.009135042349340214,0.006505402721654016
Vaskút,0.18999999999999995,3,248,0.18999999999999995,3,300,0.18999999999999995,3,237,0.03609999999999998,0.0068589999999999944
Putnok,0.5217030999999999,8,81,0.025691499999999978,8,94,0.5217030999999999,8,81,0.013403335193649986,0.006992561520866296
Dombóvár,0.8905810108684876,22,31,0.0521523780994505,22,32,0.15196531057195473,22,19,0.007925352334949006,0.007058168293947815
Bugyi,0.01585000000000003,7,41,0.46855899999999995,7,57,1.0,7,19,0.46855899999999995,0.007426660150000014
Őrbottyán,0.01585000000000003,7,197,1.0,7,198,0.46855899999999995,7,193,0.46855899999999995,0.007426660150000014
Budapest XVI. kerület,0.8536974513332889,60,204,0.06658944558287128,60,224,0.13135009059114788,60,175,0.008746529709724454,0.007466890121202658
Nyírmada,0.2709999999999999,4,154,0.028000000000000025,4,240,1.0,4,103,0.028000000000000025,0.0075880000000000045
Érsekvadkert,1.0,4,191,0.028000000000000025,4,239,0.2709999999999999,4,179,0.0075880000000000045,0.0075880000000000045
Herend,0.2709999999999999,4,191,0.028000000000000025,4,236,1.0,4,166,0.028000000000000025,0.0075880000000000045
Nyúl,1.0,4,139,0.028000000000000025,4,193,0.2709999999999999,4,157,0.0075880000000000045,0.0075880000000000045
Püspökladány,0.05555563000753594,16,157,0.794108867905351,16,185,0.18406106910639097,16,108,0.14616452721352471,0.008120262394100996
Vasad,1.0,2,55,0.09999999999999998,2,85,0.09999999999999998,2,166,0.009999999999999995,0.009999999999999995
