Megye,Telepules,max,mean,min,sum,lucky_nr,lucky_nr2,max_to_min,max_to_mean,max_less_min_to_mean
VESZPRÉM,Tapolca,6,1.875,1,15,0.0,5.0,6.0,3.2,2.6666666666666665
BUDAPEST,Budapest I. kerület,6,2.0,1,20,4.0,,6.0,3.0,2.5
PEST,Százhalombatta,6,2.0,1,16,8.0,,6.0,3.0,2.5
KOMÁROM-ESZTERGOM,Komárom,5,1.8888888888888888,1,17,4.0,2.0,5.0,2.6470588235294117,2.1176470588235294
HEVES,Eger,12,4.7,1,47,9.0,1.0,12.0,2.553191489361702,2.3404255319148937
BÉKÉS,Békés,4,1.6,1,16,4.0,,4.0,2.5,1.875
HAJDÚ-BIHAR,Berettyóújfalu,5,2.0,1,16,5.0,8.0,5.0,2.5,2.0
JÁSZ-NAGYKUN-SZOLNOK,Tiszaföldvár,4,1.6,1,8,1.0,,4.0,2.5,1.875
PEST,Pilisvörösvár,4,1.6,1,8,3.0,,4.0,2.5,1.875
PEST,Nagykőrös,5,2.0,1,20,3.0,,5.0,2.5,2.0
ZALA,Keszthely,4,1.7,1,17,8.0,6.0,4.0,2.3529411764705883,1.7647058823529411
KOMÁROM-ESZTERGOM,Tata,7,3.0,1,24,9.0,8.0,7.0,2.3333333333333335,2.0
BÁCS-KISKUN,Lajosmizse,3,1.2857142857142858,1,9,8.0,,3.0,2.333333333333333,1.5555555555555554
PEST,Fót,6,2.6666666666666665,1,16,2.0,,6.0,2.25,1.875
PEST,Pécel,6,2.6666666666666665,1,16,6.0,5.0,6.0,2.25,1.875
PEST,Dunaharaszti,4,1.7777777777777777,1,16,4.0,,4.0,2.25,1.6875
BÁCS-KISKUN,Kiskőrös,4,1.7777777777777777,1,16,7.0,,4.0,2.25,1.6875
ZALA,Zalaegerszeg,11,5.1,2,51,9.0,3.0,5.5,2.1568627450980395,1.7647058823529413
PEST,Csömör,3,1.4,1,7,7.0,,3.0,2.142857142857143,1.4285714285714286
PEST,Nagykovácsi,3,1.4,1,7,8.0,,3.0,2.142857142857143,1.4285714285714286
TOLNA,Dunaföldvár,3,1.4,1,7,1.0,,3.0,2.142857142857143,1.4285714285714286
PEST,Vecsés,7,3.4285714285714284,1,24,2.0,1.0,7.0,2.041666666666667,1.75
BUDAPEST,Budapest XVI. kerület,12,6.0,1,60,5.0,,12.0,2.0,1.8333333333333333
PEST,Kartal,3,1.5,1,6,2.0,,3.0,2.0,1.3333333333333333
PEST,Monor,4,2.0,1,16,2.0,4.0,4.0,2.0,1.5
KOMÁROM-ESZTERGOM,Tát,3,1.5,1,6,1.0,,3.0,2.0,1.3333333333333333
JÁSZ-NAGYKUN-SZOLNOK,Újszász,3,1.5,1,6,1.0,,3.0,2.0,1.3333333333333333
HAJDÚ-BIHAR,Hajdúszoboszló,4,2.0,1,20,0.0,,4.0,2.0,1.5
PEST,Szentendre,5,2.5,1,20,,,5.0,2.0,1.6
FEJÉR,Gárdony,4,2.0,1,8,8.0,1.0,4.0,2.0,1.5
SZABOLCS-SZATMÁR-BEREG,Kisvárda,4,2.0,1,16,4.0,3.0,4.0,2.0,1.5
BÁCS-KISKUN,Kiskunhalas,6,3.0,1,30,3.0,,6.0,2.0,1.6666666666666667
