Megye,Telepules,max,mean,min,sum,lucky_nr,lucky_nr2,max_to_min,max_to_mean
VESZPRÉM,Tapolca,6.0,1.875,1.0,15.0,0.0,5.0,6.0,3.2
BUDAPEST,Budapest I. kerület,6.0,2.0,1.0,20.0,4.0,,6.0,3.0
PEST,Százhalombatta,6.0,2.0,1.0,16.0,8.0,,6.0,3.0
KOMÁROM-ESZTERGOM,Komárom,5.0,1.8888888888888888,1.0,17.0,4.0,2.0,5.0,2.6470588235294117
HEVES,Eger,12.0,4.7,1.0,47.0,9.0,1.0,12.0,2.553191489361702
BÉKÉS,Békés,4.0,1.6,1.0,16.0,4.0,,4.0,2.5
HAJDÚ-BIHAR,Berettyóújfalu,5.0,2.0,1.0,16.0,5.0,8.0,5.0,2.5
JÁSZ-NAGYKUN-SZOLNOK,Tiszaföldvár,4.0,1.6,1.0,8.0,1.0,,4.0,2.5
PEST,Pilisvörösvár,4.0,1.6,1.0,8.0,3.0,,4.0,2.5
PEST,Nagykőrös,5.0,2.0,1.0,20.0,3.0,,5.0,2.5
ZALA,Keszthely,4.0,1.7,1.0,17.0,8.0,6.0,4.0,2.3529411764705883
KOMÁROM-ESZTERGOM,Tata,7.0,3.0,1.0,24.0,9.0,8.0,7.0,2.3333333333333335
BÁCS-KISKUN,Lajosmizse,3.0,1.2857142857142858,1.0,9.0,8.0,,3.0,2.333333333333333
PEST,Fót,6.0,2.6666666666666665,1.0,16.0,2.0,,6.0,2.25
PEST,Pécel,6.0,2.6666666666666665,1.0,16.0,6.0,5.0,6.0,2.25
PEST,Dunaharaszti,4.0,1.7777777777777777,1.0,16.0,4.0,,4.0,2.25
BÁCS-KISKUN,Kiskőrös,4.0,1.7777777777777777,1.0,16.0,7.0,,4.0,2.25
ZALA,Zalaegerszeg,11.0,5.1,2.0,51.0,9.0,3.0,5.5,2.1568627450980395
PEST,Csömör,3.0,1.4,1.0,7.0,7.0,,3.0,2.142857142857143
PEST,Nagykovácsi,3.0,1.4,1.0,7.0,8.0,,3.0,2.142857142857143
TOLNA,Dunaföldvár,3.0,1.4,1.0,7.0,1.0,,3.0,2.142857142857143
PEST,Vecsés,7.0,3.4285714285714284,1.0,24.0,2.0,1.0,7.0,2.041666666666667
BUDAPEST,Budapest XVI. kerület,12.0,6.0,1.0,60.0,5.0,,12.0,2.0
PEST,Kartal,3.0,1.5,1.0,6.0,2.0,,3.0,2.0
PEST,Monor,4.0,2.0,1.0,16.0,2.0,4.0,4.0,2.0
KOMÁROM-ESZTERGOM,Tát,3.0,1.5,1.0,6.0,1.0,,3.0,2.0
JÁSZ-NAGYKUN-SZOLNOK,Újszász,3.0,1.5,1.0,6.0,1.0,,3.0,2.0
HAJDÚ-BIHAR,Hajdúszoboszló,4.0,2.0,1.0,20.0,0.0,,4.0,2.0
PEST,Szentendre,5.0,2.5,1.0,20.0,,,5.0,2.0
FEJÉR,Gárdony,4.0,2.0,1.0,8.0,8.0,1.0,4.0,2.0
SZABOLCS-SZATMÁR-BEREG,Kisvárda,4.0,2.0,1.0,16.0,4.0,3.0,4.0,2.0
BÁCS-KISKUN,Kiskunhalas,6.0,3.0,1.0,30.0,3.0,,6.0,2.0
